rain[mm]	 temperature[°C]	 irradiance[mümol/s/m2]	 day_length[h]	 PET[mm]	co2[ppm]
8.4	24.4	1098.6	12	4.5	400
9.1	23.5	1417.4	12	4.4	400
15.9	27	1210.5	12	4.7	400
24.8	22.8	1041.9	12	4.4	400
0	23	1110.5	12	4.4	400
0	25.5	982.6	12	4.6	400
6.6	27.7	1144.9	12	4.7	400
2.4	24.5	1381.2	12	4.5	400
0	21.4	1357.8	12	4.3	400
17.1	27.2	1045.1	12	4.7	400
3.7	24.7	1227.4	12	4.5	400
0	26.4	1024.2	12	4.6	400
23.8	31.9	1245	12	5	400
0	22.2	1214.8	12	4.3	400
36.2	23.9	1220.5	12	4.4	400
0	21.4	1317.1	12	4.3	400
0	25.4	1028.1	12	4.6	400
5.1	26.7	1135.1	12	4.6	400
62.8	23	1171.1	12	4.4	400
0	21.3	1050.1	12	4.2	400
52.9	27.2	1271.6	12	4.7	400
0	26.7	1133.5	12	4.6	400
12.4	20.9	1229.9	12	4.2	400
0	21.9	1150.3	12	4.3	400
22.3	23.7	1370.8	12	4.4	400
0	21.5	1093.4	12	4.2	400
16.4	24.8	1237.8	12	4.5	400
0	21.3	1183	12	4.2	400
2.5	20.2	1038.3	12	4.1	400
2.7	24.8	1222.5	12	4.5	400
0	28.7	1141.5	12	4.7	400
13.3	21	1071.8	12	4.2	400
17.1	23.1	1174.4	12	4.3	400
41.8	21	939.7	12	4.2	400
4.1	26	1050	12	4.5	400
24.4	26.5	1149.2	12	4.6	400
15.9	22.4	1111	12	4.2	400
0	21	1037.4	12	4.1	400
20.1	20	1171.8	12	4.1	400
31.9	21	1049.1	12	4.1	400
12.7	25.7	1132.2	12	4.5	400
9.7	22.9	938.9	12	4.3	400
0	20.7	1065.1	12	4.1	400
19.1	20.4	1160.2	12	4.1	400
3.9	21.9	1243.9	12	4.2	400
0	25.1	968.5	12	4.4	400
7.2	24.3	1199	12	4.3	400
10.8	24.9	1178.6	12	4.3	400
11	19.8	898.3	12	4	400
14	20.5	1130.4	12	4	400
0	22	1166.5	12	4.1	400
0	22.6	979.2	12	4.1	400
0	23.7	1102.4	12	4.2	400
0	23.6	1175.8	12	4.2	400
1.5	21.9	1009	12	4.1	400
6	23.7	1115.3	12	4.2	400
0	24.7	1167.9	12	4.2	400
0	21.8	1115.8	12	4	400
0	26.9	1255.9	12	4.4	400
9	21.9	1066.1	12	4	400
4.5	23.6	831.2	12	4.1	400
4.9	26.7	1156.3	12	4.3	400
29.2	24	1079.1	12	4.1	400
0	25.6	880.6	12	4.2	400
0	27	953.7	12	4.3	400
48.6	27.7	975.4	12	4.3	400
0	25.5	926.3	12	4.2	400
12.7	26.6	880.3	12	4.2	400
0	27.3	908.6	12	4.2	400
0.7	19.2	1106.8	12	3.7	400
12.6	23.2	999.6	12	4	400
18.7	22.3	1051.1	12	3.9	400
2.5	25.2	970.1	12	4.1	400
0	20.7	1014.7	12	3.7	400
21.6	27.2	997.2	12	4.1	400
0	23.9	1112	12	3.9	400
0	28.7	935.2	12	4.2	400
42.9	23.8	1011.1	12	3.9	400
16.6	24.4	1041.9	12	3.9	400
0	27.2	1006.1	12	4.1	400
20	23.1	1045.9	12	3.8	400
0	21.4	895.7	12	3.7	400
6	27.4	765.8	12	4	400
5.5	22.7	941.9	12	3.7	400
17.2	22.2	868.4	12	3.7	400
19.6	25.7	972.4	12	3.9	400
61.2	18.4	1052.8	12	3.4	400
34	25.6	1120.2	12	3.8	400
0	24.5	828.5	12	3.7	400
25.9	22	1043.2	12	3.6	400
0	21.9	936.4	12	3.5	400
11.7	22.5	964.5	12	3.6	400
0	23.8	1091.8	12	3.6	400
2.7	22.2	995.7	12	3.5	400
29.6	27.2	802.7	12	3.8	400
0	24.4	837.1	12	3.6	400
13.8	26.7	919.3	12	3.7	400
0	22.7	849.5	12	3.5	400
